step_length;step_period;movement_time;velocity
0.00040;2.00000;44.80000;0.00112
0.00040;1.80000;39.98900;0.00125
0.00040;1.60000;33.60100;0.00149
0.00040;1.40000;29.39600;0.00170
0.00040;1.20000;21.74500;0.00230
0.00040;1.00000;25.07300;0.00199
0.00040;0.80000;21.06900;0.00237
0.00040;0.60000;7.78900;0.00642
0.00040;2.00000;45.15000;0.00111
0.00040;1.80000;40.28700;0.00124
0.00040;1.60000;32.23500;0.00155
0.00040;1.40000;28.85300;0.00173
0.00040;1.20000;21.49600;0.00233
0.00040;1.00000;23.50500;0.00213
0.00040;0.80000;24.30300;0.00206
0.00040;0.60000;7.56000;0.00661
0.00040;2.00000;44.45600;0.00112
0.00040;1.80000;40.44800;0.00124
0.00040;1.60000;34.15100;0.00146
0.00040;1.40000;30.15100;0.00166
0.00040;1.20000;24.23900;0.00206
0.00040;1.00000;23.54800;0.00212
0.00040;0.80000;22.18600;0.00225
0.00040;0.60000;7.76100;0.00644
0.00040;2.00000;0.11600;0.43103
0.00040;2.00000;0.07100;0.70423
0.00040;2.00000;0.05500;0.90909
