0_0;0_1;0_2;0_3;1_0;1_1;1_2;1_3;2_0;2_1;2_2;2_3
0.710;1.290;1.020;None;0.400;1.400;1.190;1.530;0.440;1.760;1.590;2.000
0.740;1.420;1.180;2.120;0.350;1.490;1.300;1.690;0.500;1.870;1.740;2.250
0.640;1.410;1.080;1.240;0.430;1.790;1.520;None;0.420;1.410;1.230;0.830
0.550;1.280;1.000;None;0.370;1.290;1.060;1.500;0.430;0.610;1.440;1.960
0.680;1.340;0.990;1.200;0.360;1.430;1.190;None;0.450;1.670;1.480;None
0.620;1.200;0.940;1.170;0.340;1.190;1.030;1.370;0.390;1.550;1.340;1.840
0.660;1.310;1.000;1.200;0.360;1.380;1.160;1.510;0.470;1.740;1.510;1.980
0.700;1.320;1.110;None;0.390;1.450;1.250;1.630;0.520;1.790;1.610;2.120
0.760;1.320;1.080;1.250;0.370;1.430;1.220;1.600;0.500;1.760;1.580;2.090
0.620;1.220;1.010;1.160;0.380;1.320;1.080;1.490;0.360;1.670;1.390;1.920
0.700;1.270;1.010;1.160;0.380;1.310;1.170;None;0.450;1.670;1.500;1.920
0.640;1.300;1.050;1.240;0.360;1.360;1.170;1.560;0.480;1.660;1.540;2.030
0.600;1.330;1.000;1.210;0.380;1.290;1.130;1.530;0.420;1.620;1.420;1.980
0.610;1.290;1.010;1.910;0.380;1.350;1.120;1.520;0.420;1.590;1.440;None
0.590;1.280;1.080;1.270;0.350;1.380;1.220;1.580;0.450;1.710;1.530;2.150
0.630;1.360;1.060;1.280;0.400;1.770;1.560;2.050;0.400;1.400;1.190;1.590
0.700;1.440;1.100;1.370;0.410;0.530;1.310;None;0.430;1.870;1.690;2.180
0.630;1.410;1.030;1.250;0.380;1.450;1.260;1.570;0.410;1.740;1.560;2.220
0.680;1.280;0.980;1.150;0.370;1.300;1.090;1.710;0.380;1.670;1.420;1.980
0.680;1.260;0.990;1.210;0.390;1.790;1.520;None;0.460;1.350;1.150;1.570
0.590;1.250;0.920;1.140;0.430;1.540;1.360;1.860;0.360;1.220;1.020;1.410
0.600;1.320;1.060;1.210;0.340;1.400;1.160;1.560;0.440;1.630;1.500;1.980
0.710;1.380;1.090;1.230;0.370;1.420;1.210;1.620;0.470;1.740;1.570;2.070
0.630;1.400;1.040;2.140;0.420;1.400;1.220;1.610;0.450;1.780;1.580;2.130
0.620;1.230;0.990;1.210;0.370;1.270;1.070;1.460;0.440;1.520;1.380;1.880
0.760;1.130;0.980;1.200;0.370;1.340;1.110;1.560;0.450;1.660;1.480;1.990
0.690;1.200;1.010;1.250;0.370;1.400;1.160;1.600;0.490;1.660;1.530;1.990
0.690;1.240;1.020;1.150;0.460;1.350;1.120;None;0.440;1.700;1.470;None
0.610;1.260;1.050;1.180;0.350;1.320;1.140;1.470;0.400;1.590;1.490;2.050
0.690;1.310;1.090;1.230;0.380;1.370;1.230;1.560;0.510;1.700;1.570;2.140
